Title,Date
"Breaking Bad: Sesong 5: Buyout","10.08.2022"
"Breaking Bad: Sesong 5: Dead Freight","10.08.2022"
"Breaking Bad: Sesong 5: Fifty-One","09.08.2022"
"Breaking Bad: Sesong 5: Hazard Pay","09.08.2022"
"Breaking Bad: Sesong 5: Madrigal","09.08.2022"
"Breaking Bad: Sesong 5: Live Free Or Die","08.08.2022"
"Breaking Bad: Sesong 4: Face Off","08.08.2022"
"Breaking Bad: Sesong 4: End Times","08.08.2022"
"The Spider’s Web: Britain’s Second Empire","06.08.2022"
"Run","06.08.2022"
"Breaking Bad: Sesong 4: Crawl Space","05.08.2022"
"Breaking Bad: Sesong 4: Salud","05.08.2022"
"Breaking Bad: Sesong 4: Bug","05.08.2022"
"Breaking Bad: Sesong 4: Hermanos","04.08.2022"
"Breaking Bad: Sesong 4: Problem Dog","04.08.2022"
"The Guilty","30.07.2022"
"Breaking Bad: Sesong 4: Cornered","28.07.2022"
"Breaking Bad: Sesong 4: Shotgun","28.07.2022"
"Breaking Bad: Sesong 4: Bullet Points","28.07.2022"
"Breaking Bad: Sesong 4: Open House","27.07.2022"
"Breaking Bad: Sesong 4: Thirty-Eight Snub","27.07.2022"
"American Psycho","25.07.2022"
"The Wolf of Wall Street","25.07.2022"
"Breaking Bad: Sesong 4: Box Cutter","25.07.2022"
"Breaking Bad: Sesong 3: Full Measure","25.07.2022"
"Breaking Bad: Sesong 3: Half Measures","25.07.2022"
"American Murder: Mord i nabolaget","24.07.2022"
"Manifest: Sesong 1: Pilotepisode","24.07.2022"
"28 dager","08.07.2022"
"Our Planet – Vårt utrolige hjem: Jungler","05.07.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode X","29.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode IX","29.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode VIII","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode VII","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode VI","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode V","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode IV","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode III","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode II","27.06.2022"
"Michael Jordan: Den siste dansen: Miniserie: Episode I","26.06.2022"
"Breaking Bad: Sesong 3: Abiquiu","26.06.2022"
"Breaking Bad: Sesong 3: Fly","26.06.2022"
"Breaking Bad: Sesong 3: Kafkaesque","26.06.2022"
"Breaking Bad: Sesong 3: I See You","26.06.2022"
"Breaking Bad: Sesong 3: One Minute","25.06.2022"
"Breaking Bad: Sesong 3: I.F.T.","25.06.2022"
"Breaking Bad: Sesong 3: Sunset","25.06.2022"
"Breaking Bad: Sesong 3: Mas","24.06.2022"
"Breaking Bad: Sesong 3: Green Light","24.06.2022"
"Breaking Bad: Sesong 3: Caballo Sin Nombre","23.06.2022"
"Breaking Bad: Sesong 3: No Más","23.06.2022"
"Breaking Bad: Sesong 2: ABQ","23.06.2022"
"Breaking Bad: Sesong 2: Phoenix","23.06.2022"
"Breaking Bad: Sesong 2: Mandala","23.06.2022"
"Breaking Bad: Sesong 2: Over","23.06.2022"
"Breaking Bad: Sesong 2: 4 Days Out","23.06.2022"
"Breaking Bad: Sesong 2: Better Call Saul","22.06.2022"
"Breaking Bad: Sesong 2: Negro y Azul","21.06.2022"
"Breaking Bad: Sesong 2: Peekaboo","21.06.2022"
"Breaking Bad: Sesong 2: Breakage","21.06.2022"
"Breaking Bad: Sesong 2: Down","21.06.2022"
"Breaking Bad: Sesong 2: Bit by a Dead Bee","20.06.2022"
"Breaking Bad: Sesong 2: Grilled","20.06.2022"
"Breaking Bad: Sesong 2: Seven Thirty-Seven","20.06.2022"
"Breaking Bad: Sesong 1: A No-Rough-Stuff-Type Deal","20.06.2022"
"Breaking Bad: Sesong 1: Crazy Handful of Nothin'","20.06.2022"
"Breaking Bad: Sesong 1: Gray Matter","19.06.2022"
"Breaking Bad: Sesong 1: Cancer Man","19.06.2022"
"Breaking Bad: Sesong 1: And the Bag's in the River","18.06.2022"
"Breaking Bad: Sesong 1: The Cat's in the Bag","18.06.2022"
"Breaking Bad: Sesong 1: Pilotepisode","09.06.2022"
"Baywatch","19.05.2022"
"Our Planet – Vårt utrolige hjem: Tilfrosne verdener","04.05.2022"
"Our Planet – Vårt utrolige hjem: Én planet","01.05.2022"
"Nightcrawler","29.04.2022"
"Orange Is the New Black: Sesong 3: Ikke tving meg til å reise meg","28.04.2022"
"Orange Is the New Black: Sesong 3: En ordentlig helt","28.04.2022"
"Orange Is the New Black: Sesong 3: Når knopper brister","27.04.2022"
"365 Days: This Day","27.04.2022"
"Prisoners","25.04.2022"
"Narcos: Sesong 2: Deutschland 93","23.03.2022"
"Narcos: Sesong 2: Los Pepes","20.03.2022"
"Narcos: Sesong 2: Min fiendes fiender","20.03.2022"
"Narcos: Sesong 2: Den gode, den onde og den døde","18.03.2022"
"Narcos: Sesong 2: Vår mann i Madrid","18.03.2022"
"Narcos: Sesong 2: Cambalache","18.03.2022"
"Narcos: Sesong 2: Endelig fri","18.03.2022"
"Formula 1: Drive to Survive: Sesong 4: Hard Racing","13.03.2022"
"Formula 1: Drive to Survive: Sesong 4: Dances With Wolff","13.03.2022"
"Formula 1: Drive to Survive: Sesong 4: Gloves Are Off","12.03.2022"
"Formula 1: Drive to Survive: Sesong 4: Growing Pains","12.03.2022"
"Formula 1: Drive to Survive: Sesong 4: A Point to Prove","12.03.2022"
"Formula 1: Drive to Survive: Sesong 4: Staying Alive","11.03.2022"
"Formula 1: Drive to Survive: Sesong 4: A Mountain to Climb","11.03.2022"
"Fury","10.03.2022"
"Marriage Story","08.03.2022"
"Hobbiten: Femhærerslaget","05.03.2022"
"Hobbiten: Smaugs ødemark","05.03.2022"
"Hobbiten – En uventet reise","04.03.2022"
"Forrest Gump","02.03.2022"
"The Bourne Identity","24.02.2022"
"Tinder-svindleren","15.02.2022"
"Bohemian Rhapsody","14.02.2022"
"På jakt etter seriemordere: Sesong 2: Savnede menn – del 2: Toronto Village-morderen","13.02.2022"
"På jakt etter seriemordere: Sesong 2: Savnede menn – del 1: Toronto Village-morderen","13.02.2022"
"På jakt etter seriemordere: Sesong 2: Lystdrap: Serieskytteren i Phoenix","12.02.2022"
"På jakt etter seriemordere: Sesong 2: Bind, torturer og drep: BTK","12.02.2022"
"After Life: Sesong 3: Episode 6","12.02.2022"
"After Life: Sesong 3: Episode 5","11.02.2022"
"After Life: Sesong 3: Episode 4","11.02.2022"
"After Life: Sesong 3: Episode 3","11.02.2022"
"After Life: Sesong 3: Episode 2","11.02.2022"
"After Life: Sesong 3: Episode 1","11.02.2022"
"After Life: Sesong 2: Episode 6","10.02.2022"
"After Life: Sesong 2: Episode 5","10.02.2022"
"After Life: Sesong 2: Episode 4","10.02.2022"
"After Life: Sesong 2: Episode 3","10.02.2022"
"After Life: Sesong 2: Episode 2","10.02.2022"
"After Life: Sesong 2: Episode 1","10.02.2022"
"After Life: Sesong 1: Episode 6","09.02.2022"
"After Life: Sesong 1: Episode 5","09.02.2022"
"After Life: Sesong 1: Episode 4","09.02.2022"
"After Life: Sesong 1: Episode 3","08.02.2022"
"After Life: Sesong 1: Episode 2","08.02.2022"
"After Life: Sesong 1: Episode 1","08.02.2022"
"Åstedet: Seriemorderen på Times Square: Miniserie: Slutten på en epoke","01.02.2022"
"Åstedet: Seriemorderen på Times Square: Miniserie: Den perfekte jaktmark","01.02.2022"
"Sexify: Sesong 1: Episode 1","30.01.2022"
"Åstedet: Seriemorderen på Times Square: Miniserie: Mord på 42. gate","28.01.2022"
"På jakt etter seriemordere: Sesong 1: Sanne løgner – del 2: Smilefjesmorderen","25.01.2022"
"På jakt etter seriemordere: Sesong 1: Sanne løgner – del 1: Smilefjesmorderen","25.01.2022"
"Jane the Virgin: Sesong 1: Kapittel 1: Pilot","24.01.2022"
"På jakt etter seriemordere: Sesong 1: Manndreper: Aileen Wuornos","24.01.2022"
"På jakt etter seriemordere: Sesong 1: Dødstall: Green River-morderen","23.01.2022"
"The Perfect Man","18.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Down to the Wire","12.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Man On Fire","12.01.2022"
"Formula 1: Drive to Survive: Sesong 3: No Regrets","11.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Guenther's Choice","11.01.2022"
"Formula 1: Drive to Survive: Sesong 3: The End of the Affair","09.01.2022"
"Formula 1: Drive to Survive: Sesong 3: We Need to Talk About Ferrari","09.01.2022"
"Blue Lagoon: The Awakening","09.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Nobody's Fool","07.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Back On Track","07.01.2022"
"Formula 1: Drive to Survive: Sesong 3: Cash Is King","07.01.2022"
"Hvordan bli dumpet på 10 dager","07.01.2022"
"Keeping Up with the Kardashians: Sesong 8: Greece Is The Word","06.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Checkered Flag","06.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Blood, Sweat & Tears","06.01.2022"
"Keeping Up with the Kardashians: Sesong 8: Agree to Disagree","06.01.2022"
"Keeping Up with the Kardashians: Sesong 8: Enough Is Enough","05.01.2022"
"Keeping Up with the Kardashians: Sesong 8: We're Having A Baby","05.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Musical Chairs","05.01.2022"
"Keeping Up with the Kardashians: Sesong 5: The Missing Ring","05.01.2022"
"Keeping Up with the Kardashians: Sesong 5: Blind Date","04.01.2022"
"Keeping Up with the Kardashians: Sesong 5: Kim's House Party","04.01.2022"
"Emily in Paris: Sesong 2: Voulez-Vous Coucher Avec Moi?","04.01.2022"
"Spider-Man 3","04.01.2022"
"Spider-Man 2","03.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Seeing Red","03.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Raging Bulls","01.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Great Expectations","01.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Dark Days","01.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Dogfight","01.01.2022"
"Formula 1: Drive to Survive: Sesong 2: Boiling Point","31.12.2021"
"Formula 1: Drive to Survive: Sesong 2: Lights Out","30.12.2021"
"Formula 1: Drive to Survive: Sesong 1: Crossing the Line","30.12.2021"
"Formula 1: Drive to Survive: Sesong 1: Stars and Stripes","29.12.2021"
"Formula 1: Drive to Survive: Sesong 1: The Next Generation","29.12.2021"
"Formula 1: Drive to Survive: Sesong 1: Keeping Your Head","29.12.2021"
"Formula 1: Drive to Survive: Sesong 1: All or Nothing","29.12.2021"
"The Office (U.S.): Sesong 4: Money","09.12.2021"
"The Office (U.S.): Sesong 4: Launch Party","09.12.2021"
"The Office (U.S.): Sesong 4: Dunder Mifflin Infinity","09.12.2021"
"What Happens in Vegas","21.11.2021"
"The Office (U.S.): Sesong 4: Fun Run","20.11.2021"
"The Edge of Seventeen","06.11.2021"
"You: Sesong 3: What Is Love?","28.10.2021"
"You: Sesong 3: Red Flag","27.10.2021"
"You: Sesong 3: Swing and a Miss","24.10.2021"
"You: Sesong 3: We're All Mad Here","24.10.2021"
"You: Sesong 3: W.O.M.B.","23.10.2021"
"You: Sesong 3: Into the Woods","22.10.2021"
"You: Sesong 3: Hands Across Madre Linda","22.10.2021"
"You: Sesong 3: Missing White Woman Syndrome","20.10.2021"
"You: Sesong 3: So I Married an Axe Murderer","19.10.2021"
"You: Sesong 3: And They Lived Happily Ever After","19.10.2021"
"Bring It On","14.10.2021"
"Redd menig Ryan","12.10.2021"
"Squid Game: Sesong 1: Helvete","11.10.2021"
"Love Actually","11.10.2021"
"Squid Game: Sesong 1: Rødt lys","10.10.2021"
"Lovlig blond","07.10.2021"
"Squid Game: Sesong 1: En velsignet dag","03.10.2021"
"Squid Game: Sesong 1: Frontmann","03.10.2021"
"Squid Game: Sesong 1: VIP-er","02.10.2021"
"Squid Game: Sesong 1: Gganbu","02.10.2021"
"Squid Game: Sesong 1: En rettferdig verden","02.10.2021"
"Squid Game: Sesong 1: Hold deg til laget","02.10.2021"
"Squid Game: Sesong 1: Mannen med paraplyen","02.10.2021"
"Scorpion: Sesong 1: Plutonium Is Forever","27.09.2021"
"Scorpion: Sesong 1: Shorthanded","26.09.2021"
"Indiana Jones og krystallhodeskallens rike","24.09.2021"
"Indiana Jones og det siste korstog","24.09.2021"
"Indiana Jones og jakten på den forsvunne skatten","22.09.2021"
"The Big Short","20.09.2021"
"Sex Education: Sesong 3: Episode 8","18.09.2021"
"Sex Education: Sesong 3: Episode 7","17.09.2021"
"Sex Education: Sesong 3: Episode 6","17.09.2021"
"Sex Education: Sesong 3: Episode 5","17.09.2021"
"Sex Education: Sesong 3: Episode 4","17.09.2021"
"Sex Education: Sesong 3: Episode 3","17.09.2021"
"Sex Education: Sesong 3: Episode 2","17.09.2021"
"Sex Education: Sesong 3: Episode 1","17.09.2021"
"Conversations with a Killer: The Ted Bundy Tapes: Miniserie: Det er ikke min tur til å passe på ham","11.09.2021"
"Conversations with a Killer: The Ted Bundy Tapes: Miniserie: En av oss","09.09.2021"
"Conversations with a Killer: The Ted Bundy Tapes: Miniserie: En kjekk satan","09.09.2021"
"Bratz: The Movie","07.09.2021"
"Afterlife of the Party","02.09.2021"
"He's All That","02.09.2021"
"The Office (U.S.): Sesong 3: The Return","01.09.2021"
"The Office (U.S.): Sesong 3: Traveling Salesmen","01.09.2021"
"Atypical: Sesong 1: Antarctica","23.08.2021"
"Deepwater Horizon","19.08.2021"
"Kyss meg en tredje gang","13.08.2021"
"The Holiday","11.08.2021"
"Den talentfulle mr. Ripley","09.08.2021"
"Formula 1: Drive to Survive: Sesong 3: The Comeback Kid","04.08.2021"
"Notting Hill","23.07.2021"
"Virgin River: Sesong 2: Out of the Past","18.07.2021"
"Virgin River: Sesong 2: Can’t Let Go","18.07.2021"
"Virgin River: Sesong 2: Rumor Has It","16.07.2021"
"Virgin River: Sesong 2: Taken by Surprise","14.07.2021"
"Virgin River: Sesong 2: The Morning After","13.07.2021"
"Now You See Me 2","26.06.2021"
"The Office (U.S.): Sesong 3: Back from Vacation","26.06.2021"
"The Office (U.S.): Sesong 3: A Benihana Christmas","24.06.2021"
"Gilmore Girls: Sesong 7: Lorelai? Lorelai?","22.06.2021"
"Gilmore Girls: Sesong 7: It's Just Like Riding a Bike","22.06.2021"
"Julie and the Phantoms: Sesong 1: Jeg skal stå rak","08.06.2021"
"Julie and the Phantoms: Sesong 1: Usagt Emily","07.06.2021"
"Julie and the Phantoms: Sesong 1: På kanten av storhet","07.06.2021"
"Julie and the Phantoms: Sesong 1: Endelig fri","07.06.2021"
"Julie and the Phantoms: Sesong 1: På den andre siden av Hollywood","07.06.2021"
"Julie and the Phantoms: Sesong 1: Jeg har fått musikken tilbake","07.06.2021"
"Julie and the Phantoms: Sesong 1: Jeg flyr solo","07.06.2021"
"Julie and the Phantoms: Sesong 1: Skinne sammen","07.06.2021"
"Julie and the Phantoms: Sesong 1: Våkn opp","07.06.2021"
"Everest","02.06.2021"
"Gilmore Girls: Sesong 7: Hay Bale Maze","01.06.2021"
"Fifty Shades of Grey","23.05.2021"
"Gilmore Girls: Sesong 7: Gilmore Girls Only","23.05.2021"
"Gilmore Girls: Sesong 7: Will You Be My Lorelai Gilmore?","23.05.2021"
"Gilmore Girls: Sesong 7: I'm a Kayak, Hear Me Roar","23.05.2021"
"Gilmore Girls: Sesong 7: Farewell, My Pet","22.05.2021"
"Gilmore Girls: Sesong 7: I'd Rather Be in Philadelphia","19.05.2021"
"Gilmore Girls: Sesong 7: To Whom It May Concern","19.05.2021"
"Det kvinner vil ha","17.05.2021"
"Gilmore Girls: Sesong 7: Santa's Secret Stuff","17.05.2021"
"Gilmore Girls: Sesong 7: Merry Fisticuffs","17.05.2021"
"Gilmore Girls: Sesong 7: Knit, People, Knit","17.05.2021"
"Gilmore Girls: Sesong 7: Introducing Lorelai Planetarium","10.05.2021"
"Gilmore Girls: Sesong 7: French Twist","27.04.2021"
"Rick and Morty: Sesong 1: M. Night Shaym-Aliens!","24.04.2021"
"Steve Jobs","24.04.2021"
"Paddington","23.04.2021"
"Rick and Morty: Sesong 1: Rick Potion #9","23.04.2021"
"Hvorfor drepte du meg?","20.04.2021"
"Gilmore Girls: Sesong 7: Go Bulldogs!","19.04.2021"
"Et år med Gilmore Girls: Miniserie: Vinter","19.04.2021"
"How I Met Your Mother: Sesong 1: Pilotepisode","16.04.2021"
"Gilmore Girls: Sesong 7: The Great Stink","11.04.2021"
"Gilmore Girls: Sesong 7: 'S Wonderful, 'S Marvelous","11.04.2021"
"En Askepotthistorie","11.04.2021"
"Paddington 2","11.04.2021"
"Brooklyn Nine-Nine: Sesong 7: Debbie","08.04.2021"
"Brooklyn Nine-Nine: Sesong 7: The Jimmy Jab Games II","08.04.2021"
"Brooklyn Nine-Nine: Sesong 7: Pimemento","08.04.2021"
"Brooklyn Nine-Nine: Sesong 7: Captain Kim","08.04.2021"
"Brooklyn Nine-Nine: Sesong 7: Manhunter","07.04.2021"
"Gilmore Girls: Sesong 7: Lorelai's First Cotillion","06.04.2021"
"Gilmore Girls: Sesong 7: That's What You Get, Folks, For Makin' Whoopie","06.04.2021"
"Gilmore Girls: Sesong 7: The Long Morrow","06.04.2021"
"Gilmore Girls: Sesong 6: Partings","06.04.2021"
"Gilmore Girls: Sesong 6: Driving Miss Gilmore","06.04.2021"
"Gilmore Girls: Sesong 6: Super Cool Party People","03.04.2021"
"Jurassic Park","31.03.2021"
"Gilmore Girls: Sesong 6: I Get a Sidekick out of You","27.03.2021"
"Gilmore Girls: Sesong 6: The Real Paul Anka","27.03.2021"
"Gilmore Girls: Sesong 6: I'm OK, You're OK","22.03.2021"
"Gilmore Girls: Sesong 6: Bridesmaids Revisited","22.03.2021"
"Gilmore Girls: Sesong 6: A Vineyard Valentine","17.03.2021"
"Gilmore Girls: Sesong 6: You've Been Gilmored","16.03.2021"
"Gilmore Girls: Sesong 6: Friday Night's Alright for Fighting","16.03.2021"
"Gilmore Girls: Sesong 6: Just Like Gwen and Gavin","15.03.2021"
"Scorpion: Sesong 1: Pilotepisode","15.03.2021"
"Rick and Morty: Sesong 1: Meeseeks and Destroy","15.03.2021"
"Rick and Morty: Sesong 1: Anatomy Park","14.03.2021"
"Åstedet: Mysteriet på Cecil Hotel: Miniserie: Hotellets hemmeligheter","14.03.2021"
"Rick and Morty: Sesong 1: Lawnmower Dog","14.03.2021"
"Rick and Morty: Sesong 1: Pilotepisode","14.03.2021"
"Åstedet: Mysteriet på Cecil Hotel: Miniserie: Forsvunnet i Los Angeles","13.03.2021"
"Det regner kjøttboller","13.03.2021"
"The Dictator","06.03.2021"
"Hangover 2","04.03.2021"
"White Chicks","03.03.2021"
"To All The Boys: Always And Forever","19.02.2021"
"Freedom Writers","05.02.2021"
"Molly's Game","05.02.2021"
"The Office (U.S.): Sesong 2: Booze Cruise","04.02.2021"
"The Office (U.S.): Sesong 2: Christmas Party","04.02.2021"
"Godzilla: King of the Monsters","04.02.2021"
"Godzilla","30.01.2021"
"The Clapper","28.01.2021"
"The Dark Knight Rises","11.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Body Blows","10.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Must Love Dogs","10.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Shape Up or Ship Out","10.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Baby Blues","09.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Hot Cup of Love","09.01.2021"
"Keeping Up with the Kardashians: Sesong 4: Scott on the Rocks","09.01.2021"
"Keeping Up with the Kardashians: Sesong 4: The Wedding","09.01.2021"
"Narcos: Sesong 1: Det finnes en framtid","16.12.2020"
"Narcos: Sesong 1: Palasset i flammer","16.12.2020"
"Narcos: Sesong 1: De alltid mektige","11.12.2020"
"Narcos: Sesong 1: Simón Bolívars sverd","09.12.2020"
"Narcos: Sesong 1: Descenso","09.12.2020"
"Virgin River: Sesong 2: New Beginnings","08.12.2020"
"Virgin River: Sesong 1: Unexpected Endings","08.12.2020"
"If Anything Happens I Love You","27.11.2020"
"You: Sesong 1: The Captain","27.11.2020"
"You: Sesong 1: Maybe","27.11.2020"
"You: Sesong 1: The Last Nice Guy in New York","27.11.2020"
"You: Sesong 1: Pilotepisode","27.11.2020"
"Lucy","19.11.2020"
"I AM A KILLER: Sesong 2: In Her Hands","18.11.2020"
"How to Get Away With Murder: Sesong 1: He Deserved to Die","07.11.2020"
"How to Get Away With Murder: Sesong 1: Freakin' Whack-a-Mole","07.11.2020"
"How to Get Away With Murder: Sesong 1: We're Not Friends","07.11.2020"
"How to Get Away With Murder: Sesong 1: Let's Get to Scooping","07.11.2020"
"How to Get Away With Murder: Sesong 1: Smile, or Go to Jail","07.11.2020"
"How to Get Away With Murder: Sesong 1: It's All Her Fault","07.11.2020"
"How to Get Away With Murder: Sesong 1: Pilotepisode","07.11.2020"
"Uerstattelige deg","07.11.2020"
"Bortført innen synsvidde","07.11.2020"
"About Time","05.11.2020"
"Spider-Man: Into the Spider-Verse","30.10.2020"
"Bad Neighbours","24.10.2020"
"Enola Holmes","24.10.2020"
": ","23.10.2020"
"The Trial of the Chicago 7","18.10.2020"
"The Theory of Everything","03.10.2020"
"Family Guy: Sesong 14: The Heartbreak Dog","02.10.2020"
"Family Guy: Sesong 14: A Lot Going on Upstairs","02.10.2020"
"Family Guy: Sesong 14: Underage Peter","02.10.2020"
"Love, Guaranteed","30.09.2020"
"Reckoning: Miniserie: Rrk Is Dead","28.09.2020"
"Reckoning: Miniserie: California Dreamin'","28.09.2020"
"The Man Who Knew Infinity","29.08.2020"
"Flight","29.08.2020"
"Safe Haven","19.08.2020"
"Love Happens","18.08.2020"
"2 Night Stand","18.08.2020"
"Fresh Prince i Bel-Air: Sesong 1: Bang the Drum, Ashley","17.08.2020"
"The Impossible","17.08.2020"
"Searching","15.08.2020"
"Dagboken","14.08.2020"
"Verdens mest ettersøkte: Sesong 1: Ismael El Mayo Zambada Garcia: Lederen av Sinaloa-kartellet","12.08.2020"
"Zodiac","10.08.2020"
"Verdens hardeste fengsler: Sesong 4: Mauritius: Fengselet med ekstreme straffer","09.08.2020"
"About Last Night","09.08.2020"
"The Intern","09.08.2020"
"Venom","07.08.2020"
"Concussion","02.08.2020"
"Kung Fu Panda 2","01.08.2020"
"She's Out of My League","19.07.2020"
"In the Heart of the Sea","10.07.2020"
"The Conjuring","26.06.2020"
"I AM A KILLER: Sesong 2: An Ordinary Boy","25.06.2020"
"Lincoln","22.06.2020"
"Keeping Up with the Kardashians: Sesong 2: Rob's New Girlfriend","22.06.2020"
"Keeping Up with the Kardashians: Sesong 2: Kim Becomes a Diva","22.06.2020"
"Keeping Up with the Kardashians: Sesong 1: I'm Watching You","22.06.2020"
"Aquaman","19.06.2020"
"Rick and Morty: Sesong 4: Star Mort Rick Turn of the Jerri","15.06.2020"
"Rick and Morty: Sesong 4: Childrick of Mort","15.06.2020"
"365 Days","14.06.2020"
"Prison Break: Sesong 1: Sleight of Hand","12.06.2020"
"Prison Break: Sesong 1: Tweener","12.06.2020"
"Prison Break: Sesong 1: The Old Head","11.06.2020"
"Prison Break: Sesong 1: Riots, Drills and the Devil: Del 2","11.06.2020"
"Prison Break: Sesong 1: Riots, Drills and the Devil: Del 1","11.06.2020"
"Prison Break: Sesong 1: English, Fitz or Percy","10.06.2020"
"Prison Break: Sesong 1: Cute Poison","10.06.2020"
"Prison Break: Sesong 1: Cell Test","09.06.2020"
"Prison Break: Sesong 1: Allen","07.06.2020"
"Prison Break: Sesong 1: Pilotepisode","07.06.2020"
"First Man","05.06.2020"
"To All the Boys: P.S. I Still Love You","01.06.2020"
"Dager med blå himmel","31.05.2020"
"Rick and Morty: Sesong 4: The Vat of Acid Episode","30.05.2020"
"Tiger King: Avsatt fra tronen","25.05.2020"
"Tiger King: Å gjøre det rette","25.05.2020"
"Tiger King: Gjør USA eksotisk igjen","25.05.2020"
"Tiger King: Lek med ilden","24.05.2020"
"Tiger King: Hemmeligheten","24.05.2020"
"Tiger King: Personlighetskult","24.05.2020"
"Tiger King: Ikke en vanlig mann","24.05.2020"
"Focus","22.05.2020"
"Rick and Morty: Sesong 4: Promortyus","21.05.2020"
"Bumblebee","20.05.2020"
"To All the Boys I’ve Loved Before","20.05.2020"
"The Break-Up","20.05.2020"
"Isn't It Romantic","17.05.2020"
"500 Days of Summer","17.05.2020"
"No Strings Attached","16.05.2020"
"Rick and Morty: Sesong 4: Never Ricking Morty","15.05.2020"
"Rick and Morty: Sesong 4: Rattlestar Ricklactica","15.05.2020"
"Rick and Morty: Sesong 4: Claw and Hoarder: Special Ricktim’s Morty","13.05.2020"
"Rick and Morty: Sesong 4: One Crew over the Crewcoo’s Morty","13.05.2020"
"Rick and Morty: Sesong 4: The Old Man and the Seat","12.05.2020"
"Rick and Morty: Sesong 4: Edge of Tomorty: Rick Die Rickpeat","12.05.2020"
"Rick and Morty: Sesong 3: The Rickchurian Mortydate","12.05.2020"
"Rick and Morty: Sesong 3: The ABC's of Beth","12.05.2020"
"Rick and Morty: Sesong 3: Morty's Mind Blowers","12.05.2020"
"Rick and Morty: Sesong 3: The Ricklantis Mixup","12.05.2020"
"Rick and Morty: Sesong 3: Rest and Ricklaxation","10.05.2020"
"Rick and Morty: Sesong 3: The Whirly Dirly Conspiracy","10.05.2020"
"Rick and Morty: Sesong 3: Vindicators 3:  The Return of Worldender","10.05.2020"
"Rick and Morty: Sesong 3: Pickle Rick","10.05.2020"
"Rick and Morty: Sesong 3: Rickmancing the Stone","10.05.2020"
"Rick and Morty: Sesong 3: The Rickshank Rickdemption","09.05.2020"
"Rick and Morty: Sesong 2: The Wedding Squanchers","09.05.2020"
"Rick and Morty: Sesong 2: Look Who's Purging Now","09.05.2020"
"Rick and Morty: Sesong 2: Interdimensional Cable 2: Tempting Fate","09.05.2020"
"Rick and Morty: Sesong 2: Big Trouble in Little Sanchez","09.05.2020"
"Rick and Morty: Sesong 2: The Ricks Must Be Crazy","09.05.2020"
"Rick and Morty: Sesong 2: Get Schwifty","09.05.2020"
"Rick and Morty: Sesong 2: Total Rickall","08.05.2020"
"Rick and Morty: Sesong 2: Auto Erotic Assimilation","08.05.2020"
"Rick and Morty: Sesong 2: Mortynight Run","07.05.2020"
"Rick and Morty: Sesong 2: A Rickle in Time","07.05.2020"
"The Fast and the Furious - Tokyo Drift","05.05.2020"
"2 Fast 2 Furious","05.05.2020"
"The Fast and the Furious","04.05.2020"
"Fast & Furious","04.05.2020"
"Rick and Morty: Sesong 1: Ricksy Business","03.05.2020"
"Rick and Morty: Sesong 1: Close Rick-counters of the Rick Kind","03.05.2020"
"Rick and Morty: Sesong 1: Something Ricked This Way Comes","02.05.2020"
"Rick and Morty: Sesong 1: Rixty Minutes","02.05.2020"
"Rick and Morty: Sesong 1: Raising Gazorpazorp","02.05.2020"
"Furious 7","01.05.2020"
"Fast & Furious 6","30.04.2020"
"Fast & Furious 5","30.04.2020"
"Extraction","30.04.2020"
"Family Guy: Sesong 14: An App a Day","30.04.2020"
"Family Guy: Sesong 14: Scammed Yankees","30.04.2020"
"Family Guy: Sesong 14: The Peanut Butter Kid","30.04.2020"
"Family Guy: Sesong 14: Candy, Quahog Marshmallow","29.04.2020"
"Family Guy: Sesong 14: A Shot in the Dark","29.04.2020"
"Family Guy: Sesong 14: Brokeback Swanson","29.04.2020"
"Family Guy: Sesong 14: Hot Pocket-Dial","29.04.2020"
"Family Guy: Sesong 14: Peter's Sister","29.04.2020"
